#   XYZ data converted from README.txt
#  https://sites.uef.fi/spectral/munsell-colors-glossy-all-spectrofotometer-measured/
#  adapted to Illuminant E for simplicity

"X" "Y" "Z"
"2.5B2/2" 2.68484167018997 3.02733318734316 3.93297789195393
"2.5B2/4" 2.32199753720229 3.00225399591585 5.15093952887102
"2.5B2/6" 1.97923151256618 2.97492584080162 6.58276851927338
"2.5B3/2" 5.68665730744692 6.3529671933485 7.94516130848168
"2.5B3/4" 5.01268948202001 6.30937731617443 9.97594427367267
"2.5B3/6" 4.43729890107905 6.26814720692258 12.0202825066239
"2.5B3/8" 3.87030404131452 6.22434306270263 14.2803940605805
"2.5B4/2" 10.6100419754551 11.6454584074633 13.807794801772
"2.5B4/4" 9.58198313175507 11.5849772943185 16.440694091706
"2.5B4/6" 8.67715896669381 11.5263772663535 19.1732107156318
"2.5B4/8" 7.71636452918765 11.4585520553696 22.5078819209043
"2.5B5/2" 17.7298313959886 19.1971234400299 21.9838027994653
"2.5B5/4" 16.2971043260507 19.1193543296573 25.1489114281841
"2.5B5/6" 14.9388246402402 19.0385347304263 28.6980115445269
"2.5B5/8" 13.6177597106548 18.9545313428351 32.5673609744626
"2.5B5/10" 12.270085951768 18.8650516379998 36.807325331523
"2.5B6/2" 27.1904060607267 29.2044144575633 32.5848194347419
"2.5B6/4" 25.1877526231344 29.1028418211108 36.4573667420417
"2.5B6/6" 23.2655494057198 28.9950387299382 40.9717822103541
"2.5B6/8" 21.5047235446069 28.88961445803 45.6231819008724
"2.5B7/2" 39.2712240863 41.8639214480861 45.9818483262914
"2.5B7/4" 36.6176171608821 41.7347200391358 50.6965239868761
"2.5B7/6" 34.310372015467 41.6132954628925 55.4986162348785
"2.5B7/8" 32.007487486042 41.4840458246298 60.9145694539158
"2.5B8/2" 54.2610748649964 57.4748640077353 62.1358140659667
"2.5B8/4" 50.5935615679095 57.3068025509266 67.8393693143556
"2.5B9/2" 72.5195071225545 76.5143085030163 82.4097947344758
"2.5BG2/2" 2.61670552595165 3.03597099162398 3.12941727868144
"2.5BG2/4" 2.13016759029002 3.02160068047295 3.27314388859944
"2.5BG2/6" 1.73534692229934 3.00945219082631 3.42745078055888
"2.5BG3/2" 5.55793167191562 6.36827532402726 6.50521373939005
"2.5BG3/4" 4.64719310639436 6.3425497856991 6.68346308538735
"2.5BG3/6" 3.94193719702417 6.32191430796167 6.87673047316417
"2.5BG3/8" 3.31999511322233 6.30303208439159 7.10010351097516
"2.5BG4/2" 10.3356947430386 11.664473448255 11.7915307736784
"2.5BG4/4" 8.96164495342314 11.6268446504845 11.9689009377877
"2.5BG4/6" 7.7558835165663 11.5928111338884 12.2029196836945
"2.5BG4/8" 6.63557871311001 11.5603060655184 12.4886923152346
"2.5BG5/2" 17.2766002609728 19.2211895966679 19.2211068058978
"2.5BG5/4" 15.4419388229161 19.1735406788821 19.2573254438885
"2.5BG5/6" 13.8307461245094 19.1301579553847 19.4080520253568
"2.5BG5/8" 12.101657156201 19.0821804220573 19.6796575047322
"2.5BG5/10" 10.5988188536921 19.0391755755807 20.0166639217238
"2.5BG6/2" 26.4944453969162 29.2317138058769 29.0893074517826
"2.5BG6/4" 23.8796183221777 29.1661242321622 28.9613896352773
"2.5BG6/6" 21.7626371654608 29.1110834549699 29.0077904326688
"2.5BG6/8" 19.6055254416155 29.0524103620515 29.2552983548334
"2.5BG6/10" 17.6784446396275 28.9983465041025 29.603834990878
"2.5BG7/2" 38.2974704789945 41.8983093285268 41.38561215903
"2.5BG7/4" 35.1931443154932 41.8211151073786 41.181635861918
"2.5BG7/6" 32.412981920504 41.7504879491595 41.114490066285
"2.5BG7/8" 29.5706278256886 41.677075902167 41.1390345034716
"2.5BG8/2" 52.8196363116571 57.5089351986078 56.6338976723609
"2.5BG8/4" 48.8370303273833 57.4119226593488 56.2158646997198
"2.5BG8/6" 45.1983434122731 57.3224565056115 55.8982127599831
"2.5BG9/2" 70.5031652804974 76.5545584764746 75.2865947824007
"2.5G2/2" 2.65032049969963 3.04380630300949 2.59029281391413
"2.5G2/4" 2.1688392705159 3.0377787409112 2.09885067503808
"2.5G3/2" 5.60869423408134 6.38361005681786 5.42019066791799
"2.5G3/4" 4.76465744992809 6.37372511488632 4.50599490663054
"2.5G3/6" 4.02308343664388 6.36403342766989 3.78063983889107
"2.5G3/8" 3.40652832585536 6.35529104157604 3.23051465502499
"2.5G3/10" 2.78759825884328 6.34556165185824 2.75200054472629
"2.5G4/2" 10.3986409867697 11.6885309872057 10.0561201930535
"2.5G4/4" 9.10301142062794 11.6746909488167 8.54964312672166
"2.5G4/6" 7.8455833803652 11.659739766885 7.20508015467641
"2.5G4/8" 6.77007911086246 11.6454561019456 6.17071757724624
"2.5G4/10" 5.75107218508233 11.6308022060352 5.27735544485079
"2.5G5/2" 17.3521160414466 19.255542297956 16.7144705343705
"2.5G5/4" 15.602792979297 19.2385607548174 14.5486111142258
"2.5G5/6" 13.9641670574642 19.2214458793446 12.613227779749
"2.5G5/8" 12.3560270418949 19.2021468248298 10.9074013146647
"2.5G5/10" 10.935981477713 19.1832190602242 9.54695815902975
"2.5G5/12" 9.48653733013744 19.1623576079329 8.27759540396072
"2.5G6/2" 26.5225134321973 29.2793131498812 25.4638111460504
"2.5G6/4" 24.1668762969327 29.2575414453014 22.4625308244667
"2.5G6/6" 22.0430509304018 29.2378678675 19.7600295545331
"2.5G6/8" 20.019556789853 29.216002686671 17.4265738316565
"2.5G6/10" 18.0771180937734 29.1931023946782 15.3343835178406
"2.5G7/2" 38.3610343855446 41.9578601466683 36.9063893611376
"2.5G7/4" 35.3910405950936 41.9335077802389 32.8828102393066
"2.5G7/6" 32.7443612591048 41.9103609126683 29.4090343536634
"2.5G7/8" 30.0671899312641 41.8851527164284 26.0340359211666
"2.5G7/10" 27.5010956240971 41.8579462903399 23.0344997866266
"2.5G8/2" 52.8857473776951 57.5857547531345 50.8241814552905
"2.5G8/4" 49.2383371411644 57.5585845871228 45.6712248490542
"2.5G8/6" 45.4818261995383 57.52724038727 40.6240978308477
"2.5G8/8" 42.3972382733518 57.4995991620927 36.6269632755688
"2.5G9/2" 70.5935602186672 76.6548545254928 67.7095106855235
"2.5G9/4" 65.8813475548654 76.6216458917965 60.9057949248904
"2.5GY2/2" 2.83789663768149 3.05769816472669 1.88896786403739
"2.5GY3/2" 5.98610972128012 6.4109024023858 4.06004507372987
"2.5GY3/4" 5.63561936464068 6.42692553374521 2.12373438196747
"2.5GY4/2" 11.03037072575 11.7339320939241 7.80125040392851
"2.5GY4/4" 10.4788375653821 11.7621230796372 4.52402953254458
"2.5GY4/6" 10.0800490515713 11.7788389771868 2.43808087114478
"2.5GY5/2" 18.3269304758599 19.3216389662745 13.5413685562423
"2.5GY5/4" 17.5534637989094 19.3623805393851 8.8520877491956
"2.5GY5/6" 16.9133829506089 19.3925925297109 5.24245150213655
"2.5GY5/8" 16.4439622484404 19.4122193328355 2.7908946833039
"2.5GY6/2" 27.9887331133408 29.3744809458536 21.0197058941155
"2.5GY6/4" 26.9600811417004 29.4291334879551 14.747019546484
